M0,g,gv,ch,cl,GammaTot,BRWH,BRWZ,BRlnu,BRjets
1000.0,0.6534,1.0,-7.5,-3.74767,593.86884,0.13998435,-0.035780933,0.15094711,0.669106
1000.0,0.6534,1.0,-7.25,-3.74767,580.9321,0.14057553,-0.023820596,0.14882727,0.65970886
1000.0,0.6534,1.0,-7.0,-3.74767,569.14795,0.14092724,-0.010473957,0.14651373,0.64945304
1000.0,0.6534,1.0,-6.75,-3.74767,558.5646,0.1410067,0.0043838904,0.14399093,0.6382695
1000.0,0.6534,1.0,-6.5,-3.74767,549.2417,0.14077838,0.02088368,0.1412428,0.62608707
1000.0,0.6534,1.0,-6.25,-3.74767,541.2529,0.14020418,0.039160464,0.138253,0.6128333
1000.0,0.6534,1.0,-6.0,-3.74767,534.6885,0.13924363,0.059351463,0.13500524,0.59843606
1000.0,0.6534,1.0,-5.75,-3.74767,529.6588,0.13785444,0.08159306,0.1314837,0.58282506
1000.0,0.6534,1.0,-5.5,-3.74767,526.2991,0.13599303,0.1060168,0.12767369,0.5659352
1000.0,0.6534,1.0,-5.25,-3.74767,524.77435,0.13361566,0.13274422,0.12356227,0.5477093
1000.0,0.6534,1.0,-5.0,-3.74767,525.28687,0.13067973,0.16188039,0.119139396,0.5281026
1000.0,0.6534,1.0,-4.75,-3.74767,528.08295,0.12714577,0.1935064,0.114399135,0.50708884
1000.0,0.6534,1.0,-4.5,-3.74767,533.4557,0.12298164,0.22767389,0.109342806,0.48467392
1000.0,0.6534,1.0,-4.25,-3.74767,453.27783,0.10600254,0.16484255,0.122836664,0.5444912
1000.0,0.6534,1.0,-4.0,-3.74767,409.0809,0.09385141,0.13133402,0.130546,0.578666
1000.0,0.6534,1.0,-3.75,-3.74767,377.31662,0.083640836,0.10934973,0.13598123,0.6027597
1000.0,0.6534,1.0,-3.5,-3.74767,351.38138,0.07438394,0.09240959,0.14040355,0.6223633
1000.0,0.6534,1.0,-3.25,-3.74767,329.1136,0.06575375,0.0784257,0.14422084,0.6392849
1000.0,0.6534,1.0,-3.0,-3.74767,309.4862,0.057606272,0.06643468,0.14762014,0.6543535
1000.0,0.6534,1.0,-2.75,-3.74767,291.91592,0.049876146,0.055914316,0.15070069,0.6680091
1000.0,0.6534,1.0,-2.5,-3.74767,276.03354,0.04254096,0.04655684,0.15351826,0.68049896
1000.0,0.6534,1.0,-2.25,-3.74767,261.58746,0.035606004,0.038174298,0.15610369,0.69195974
1000.0,0.6534,1.0,-2.0,-3.74767,248.39706,0.029096859,0.030652998,0.15847187,0.70245755
1000.0,0.6534,1.0,-1.75,-3.74767,236.32756,0.023055457,0.023929415,0.16062647,0.7120085
1000.0,0.6534,1.0,-1.5,-3.74767,225.27542,0.017537776,0.017976506,0.1625626,0.72059107
1000.0,0.6534,1.0,-1.25,-3.74767,215.15953,0.012612356,0.012795578,0.16426848,0.72815293
1000.0,0.6534,1.0,-1.0,-3.74767,205.91554,0.00835914,0.008411281,0.16572644,0.7346158
1000.0,0.6534,1.0,-0.75,-3.74767,197.4922,0.0048683803,0.0048684203,0.1669137,0.7398787
1000.0,0.6534,1.0,-0.5,-3.74767,189.84892,0.0022394012,0.0022298873,0.16780286,0.7438202
1000.0,0.6534,1.0,-0.25,-3.74767,182.95424,0.0005790902,0.0005752829,0.16836242,0.74630064
1000.0,0.6534,1.0,0.0,-3.74767,176.78485,0.0,0.0,0.16855729,0.7471645
1000.0,0.6534,1.0,0.25,-3.74767,171.32527,0.00061799627,0.00061466196,0.1683492,0.74624205
1000.0,0.6534,1.0,0.5,-3.74767,166.56784,0.0025494117,0.0025449232,0.1676973,0.74335223
1000.0,0.6534,1.0,0.75,-3.74767,162.51335,0.0059077195,0.0059317774,0.16655856,0.7383045
1000.0,0.6534,1.0,1.0,-3.74767,159.17223,0.010799796,0.010932695,0.16488837,0.7309008
1000.0,0.6534,1.0,1.25,-3.74767,156.56653,0.017321914,0.017724184,0.16264062,0.7209369
1000.0,0.6534,1.0,1.5,-3.74767,154.7333,0.0255557,0.026506817,0.15976758,0.70820135
1000.0,0.6534,1.0,1.75,-3.74767,153.7299,0.035564374,0.03751457,0.15621905,0.6924713
1000.0,0.6534,1.0,2.0,-3.74767,153.64273,0.047389746,0.051031858,0.15193984,0.6735024
1000.0,0.6534,1.0,2.25,-3.74767,154.60265,0.06105063,0.067424856,0.14686485,0.6510058
1000.0,0.6534,1.0,2.5,-3.74767,156.81319,0.07654373,0.08720135,0.14090869,0.6246033
1000.0,0.6534,1.0,2.75,-3.74767,160.60802,0.09384913,0.111133285,0.13394417,0.5937308
1000.0,0.6534,1.0,3.0,-3.74767,166.58437,0.11294555,0.14053912,0.12575184,0.55741566
1000.0,0.6534,1.0,3.25,-3.74767,175.98357,0.13385378,0.17807607,0.115878746,0.5136499
1000.0,0.6534,1.0,3.5,-3.74767,192.286,0.15680665,0.23097883,0.103061914,0.45683488
1000.0,0.6534,1.0,3.75,-3.74767,248.64743,0.18476662,0.36153325,0.07625607,0.3380082
1000.0,0.6534,1.0,4.0,-3.74767,226.38771,0.20438068,0.3029697,0.0828244,0.36712557
1000.0,0.6534,1.0,4.25,-3.74767,207.4775,0.22421294,0.24420351,0.08940693,0.39630586
1000.0,0.6534,1.0,4.5,-3.74767,191.33337,0.2441351,0.18549377,0.09596915,0.4253961
1000.0,0.6534,1.0,4.75,-3.74767,177.48029,0.26403236,0.12709907,0.1024847,0.4542795
1000.0,0.6534,1.0,5.0,-3.74767,165.53874,0.2837935,0.06926097,0.108930685,0.48285446
1000.0,0.6534,1.0,5.25,-3.74767,155.20468,0.30330983,0.012206326,0.11528662,0.51103026
1000.0,0.6534,1.0,5.5,-3.74767,146.23328,0.3224745,-0.04384985,0.12153387,0.5387243
1000.0,0.6534,1.0,5.75,-3.74767,138.42627,0.34118286,-0.0987021,0.12765516,0.56585985
1000.0,0.6534,1.0,6.0,-3.74767,131.62221,0.35933232,-0.15215303,0.13363422,0.592365
