M0,g,gv,ch,cl,GammaTot,BRWW,BRhZ,BRll,BRnunu,BRtt,BRjets
1000.0,0.6534,1.0,-7.5,-3.74767,600.232,-0.03594207,0.14010519,0.074249595,0.11266622,0.10169956,0.6620114
1000.0,0.6534,1.0,-7.25,-3.74767,587.08673,-0.024273342,0.14074607,0.07318967,0.1111312,0.100265756,0.65277374
1000.0,0.6534,1.0,-7.0,-3.74767,575.07697,-0.01124509,0.14115635,0.07203685,0.10945885,0.09870558,0.6427182
1000.0,0.6534,1.0,-6.75,-3.74767,564.24786,0.0032696512,0.14130425,0.07078386,0.10763817,0.09700906,0.63178
1000.0,0.6534,1.0,-6.5,-3.74767,554.6551,0.019405494,0.14115539,0.0694232,0.10565779,0.09516593,0.61989224
1000.0,0.6534,1.0,-6.25,-3.74767,546.367,0.037303895,0.1406728,0.06794726,0.10350614,0.09316576,0.60698694
1000.0,0.6534,1.0,-6.0,-3.74767,539.4668,0.057111908,0.1398173,0.066348545,0.10117173,0.090998225,0.59299695
1000.0,0.6534,1.0,-5.75,-3.74767,534.05524,0.07898051,0.13854797,0.06461991,0.098643556,0.088653505,0.5778579
1000.0,0.6534,1.0,-5.5,-3.74767,530.25287,0.103062615,0.13682325,0.06275501,0.095911734,0.08612282,0.56151253
1000.0,0.6534,1.0,-5.25,-3.74767,528.2017,0.12951124,0.13460247,0.060748953,0.092968516,0.08339939,0.54391617
1000.0,0.6534,1.0,-5.0,-3.74767,528.06104,0.1584802,0.13184935,0.058599714,0.08981043,0.08048033,0.52504945
1000.0,0.6534,1.0,-4.75,-3.74767,529.9797,0.19013667,0.12854138,0.05631194,0.0864441,0.07737187,0.50495255
1000.0,0.6534,1.0,-4.5,-3.74767,533.8521,0.22477844,0.12472789,0.05392155,0.08292417,0.07412324,0.48394597
1000.0,0.6534,1.0,-4.25,-3.74767,452.7586,0.16296373,0.10778356,0.060852677,0.09312986,0.08354106,0.54484415
1000.0,0.6534,1.0,-4.0,-3.74767,408.74905,0.12971237,0.095437944,0.06473433,0.0988337,0.08881241,0.5789148
1000.0,0.6534,1.0,-3.75,-3.74767,377.08563,0.10792563,0.08507049,0.067473955,0.10285243,0.0925311,0.60294086
1000.0,0.6534,1.0,-3.5,-3.74767,351.2152,0.091154315,0.07567245,0.06970603,0.106119536,0.095559075,0.622495
1000.0,0.6534,1.0,-3.25,-3.74767,328.99213,0.077321514,0.06690962,0.07163583,0.1089366,0.098175116,0.63937885
1000.0,0.6534,1.0,-3.0,-3.74767,309.39682,0.0654692,0.058634795,0.07335758,0.11144166,0.100507066,0.65441835
1000.0,0.6534,1.0,-2.75,-3.74767,291.85,0.055078004,0.050781146,0.074921384,0.113707736,0.10262283,0.6680514
1000.0,0.6534,1.0,-2.5,-3.74767,275.985,0.045841746,0.043325737,0.07635549,0.115775645,0.104560584,0.680524
1000.0,0.6534,1.0,-2.25,-3.74767,261.55185,0.037573226,0.036273975,0.07767562,0.11766775,0.10634151,0.691972
1000.0,0.6534,1.0,-2.0,-3.74767,248.37106,0.030158939,0.029652048,0.07888948,0.11939455,0.10797587,0.7024606
1000.0,0.6534,1.0,-1.75,-3.74767,236.30867,0.023535082,0.023502918,0.07999915,0.120958194,0.109466255,0.71200544
1000.0,0.6534,1.0,-1.5,-3.74767,225.26176,0.017673945,0.017883983,0.0810024,0.122354515,0.110809416,0.72058433
1000.0,0.6534,1.0,-1.25,-3.74767,215.14969,0.012575821,0.012865578,0.08189353,0.123574175,0.11199739,0.7281445
1000.0,0.6534,1.0,-1.0,-3.74767,205.90848,0.008263995,0.0085298065,0.0826639,0.12460352,0.113018185,0.7346072
1000.0,0.6534,1.0,-0.75,-3.74767,197.48714,0.0047815703,0.0049694376,0.083302274,0.12542504,0.11385629,0.73987097
1000.0,0.6534,1.0,-0.5,-3.74767,189.84529,0.0021893892,0.0022866519,0.08379507,0.12601787,0.11449306,0.7438139
