M0,g,gv,ch,cl,GammaTot,BRWH,BRWZ,BRlnu,BRjets
3000.0,0.6534,3.0,-2.5,5.62151,804.5299,0.39096797,0.43825865,0.028473092,0.12791595
3000.0,0.6534,3.0,-2.41667,5.62151,752.59576,0.38704246,0.42995003,0.03051514,0.13708988
3000.0,0.6534,3.0,-2.33333,5.62151,703.8976,0.3825191,0.42133293,0.032708455,0.1469434
3000.0,0.6534,3.0,-2.25,5.62151,658.20654,0.3773664,0.41235816,0.035066485,0.15753691
3000.0,0.6534,3.0,-2.16667,5.62151,615.30774,0.3715468,0.4029716,0.037604555,0.16893922
3000.0,0.6534,3.0,-2.08333,5.62151,575.0138,0.365018,0.3931165,0.04033918,0.18122458
3000.0,0.6534,3.0,-2.0,5.62151,537.17395,0.3577358,0.38273743,0.04328699,0.19446768
3000.0,0.6534,3.0,-1.91667,5.62151,501.64163,0.34965,0.37177318,0.046466593,0.20875211
3000.0,0.6534,3.0,-1.83333,5.62151,468.28757,0.34070656,0.36016035,0.049897578,0.22416589
3000.0,0.6534,3.0,-1.75,5.62151,437.00833,0.33085242,0.34783846,0.053598903,0.24079415
3000.0,0.6534,3.0,-1.66667,5.62151,407.70047,0.32003015,0.33474284,0.05759094,0.25872847
3000.0,0.6534,3.0,-1.58333,5.62151,380.27216,0.30818257,0.32080996,0.061893832,0.2780593
3000.0,0.6534,3.0,-1.5,5.62151,354.65057,0.2952601,0.3059854,0.06652495,0.2988647
3000.0,0.6534,3.0,-1.41667,5.62151,330.7612,0.2812158,0.29021686,0.07150085,0.32121903
3000.0,0.6534,3.0,-1.33333,5.62151,308.53763,0.26601338,0.27346352,0.0768344,0.34518012
3000.0,0.6534,3.0,-1.25,5.62151,287.928,0.24963962,0.25570798,0.08253072,0.37077096
3000.0,0.6534,3.0,-1.16667,5.62151,268.87814,0.23210064,0.23695156,0.08858856,0.3979859
3000.0,0.6534,3.0,-1.08333,5.62151,251.34004,0.21343601,0.21722874,0.09499556,0.4267695
3000.0,0.6534,3.0,-1.0,5.62151,235.27667,0.1937366,0.19662495,0.1017223,0.4569895
3000.0,0.6534,3.0,-0.91667,5.62151,220.64908,0.17314297,0.17527379,0.108723015,0.48844036
3000.0,0.6534,3.0,-0.83333,5.62151,207.42299,0.15186347,0.15337543,0.11592953,0.5208158
3000.0,0.6534,3.0,-0.75,5.62151,195.5726,0.13019334,0.13121533,0.12324492,0.5536803
3000.0,0.6534,3.0,-0.66667,5.62151,185.07074,0.10850681,0.109155856,0.13054626,0.5864817
3000.0,0.6534,3.0,-0.58333,5.62151,175.89409,0.08726653,0.08764575,0.13768141,0.61853653
3000.0,0.6534,3.0,-0.5,5.62151,168.02563,0.06702384,0.06722071,0.14446895,0.64902973
3000.0,0.6534,3.0,-0.41667,5.62151,161.44789,0.04838462,0.048469406,0.15070952,0.6770656
3000.0,0.6534,3.0,-0.33333,5.62151,156.1467,0.031985722,0.032010894,0.15619351,0.70170254
3000.0,0.6534,3.0,-0.25,5.62151,152.11238,0.018455856,0.01845657,0.16071393,0.7220106
3000.0,0.6534,3.0,-0.16667,5.62151,149.33582,0.0083510475,0.008346913,0.16408777,0.73716766
3000.0,0.6534,3.0,-0.08333,5.62151,147.81097,0.0021083837,0.0021066633,0.1661712,0.7465275
3000.0,0.6534,3.0,0.0,5.62151,147.53467,0.0,0.0,0.1668747,0.74968797
3000.0,0.6534,3.0,0.08333,5.62151,148.50554,0.002098532,0.0020968032,0.16617449,0.7465423
3000.0,0.6534,3.0,0.16667,5.62151,150.72511,0.008274138,0.008269905,0.16411346,0.73728305
3000.0,0.6534,3.0,0.25,5.62151,154.19647,0.018206589,0.0182068,0.16079722,0.7223848
3000.0,0.6534,3.0,0.33333,5.62151,158.92578,0.031426687,0.031450156,0.15638041,0.7025422
3000.0,0.6534,3.0,0.41667,5.62151,164.92224,0.04736556,0.047445882,0.15105046,0.6785973
3000.0,0.6534,3.0,0.5,5.62151,172.19528,0.065400675,0.065587714,0.14501245,0.6514714
3000.0,0.6534,3.0,0.58333,5.62151,180.75896,0.08491643,0.085276656,0.1384691,0.62207526
3000.0,0.6534,3.0,0.66667,5.62151,190.63063,0.10533826,0.10595404,0.13160954,0.5912585
3000.0,0.6534,3.0,0.75,5.62151,201.82674,0.12615094,0.12711905,0.124603376,0.5597832
3000.0,0.6534,3.0,0.83333,5.62151,214.37013,0.1469275,0.14835742,0.11759098,0.5282799
3000.0,0.6534,3.0,0.91667,5.62151,228.28734,0.16732584,0.16933791,0.11068476,0.49725354
3000.0,0.6534,3.0,1.0,5.62151,243.60307,0.18707761,0.18980105,0.10397279,0.46709988
3000.0,0.6534,3.0,1.08333,5.62151,260.3505,0.20599473,0.2095662,0.097516626,0.43809545
3000.0,0.6534,3.0,1.16667,5.62151,278.56714,0.22395073,0.2285132,0.091357425,0.41042507
3000.0,0.6534,3.0,1.25,5.62151,298.288,0.24086364,0.24656491,0.085521735,0.38420814
3000.0,0.6534,3.0,1.33333,5.62151,319.55893,0.25669792,0.26369038,0.08002066,0.35949445
3000.0,0.6534,3.0,1.41667,5.62151,342.43143,0.27144805,0.2798882,0.07485535,0.3362892
3000.0,0.6534,3.0,1.5,5.62151,366.95386,0.28512543,0.29517338,0.07002141,0.3145726
3000.0,0.6534,3.0,1.58333,5.62151,393.18866,0.2977625,0.3095823,0.065507345,0.29429308
3000.0,0.6534,3.0,1.66667,5.62151,421.20557,0.30940148,0.3231615,0.061298337,0.27538404
3000.0,0.6534,3.0,1.75,5.62151,451.0714,0.3200867,0.33595935,0.057378933,0.25777602
3000.0,0.6534,3.0,1.83333,5.62151,482.87115,0.32986978,0.34803262,0.05373101,0.24138765
3000.0,0.6534,3.0,1.91667,5.62151,516.6998,0.33880284,0.35943943,0.050336193,0.22613637
3000.0,0.6534,3.0,2.0,5.62151,552.65063,0.34693405,0.37023368,0.04717744,0.21194562
3000.0,0.6534,3.0,2.08333,5.62151,590.8407,0.3543128,0.38047245,0.044236984,0.19873554
3000.0,0.6534,3.0,2.16667,5.62151,631.4018,0.3609855,0.39021084,0.04149787,0.18643002
3000.0,0.6534,3.0,2.25,5.62151,674.46674,0.36699292,0.39949855,0.03894501,0.17496125
3000.0,0.6534,3.0,2.33333,5.62151,720.2012,0.3723747,0.4083866,0.03656327,0.16426122
3000.0,0.6534,3.0,2.41667,5.62151,768.79315,0.37716657,0.4169237,0.034338556,0.15426666
3000.0,0.6534,3.0,2.5,5.62151,820.4385,0.38139856,0.42515367,0.032258544,0.14492215
