M0,g,gv,ch,cl,GammaTot,BRWH,BRWZ,BRlnu,BRjets
4000.0,0.6534,3.0,-2.5,-4.21613,929.61005,0.42566475,0.45068523,0.020608934,0.09265349
4000.0,0.6534,3.0,-2.41667,-4.21613,871.3639,0.4226178,0.44563147,0.02196015,0.098728284
4000.0,0.6534,3.0,-2.33333,-4.21613,815.78644,0.41917285,0.44027525,0.023428198,0.10532832
4000.0,0.6534,3.0,-2.25,-4.21613,762.79987,0.41529304,0.43457747,0.025025757,0.11251062
4000.0,0.6534,3.0,-2.16667,-4.21613,712.31335,0.41093507,0.42849222,0.026767699,0.12034203
4000.0,0.6534,3.0,-2.08333,-4.21613,664.24365,0.4060497,0.42196783,0.028670857,0.12889823
4000.0,0.6534,3.0,-2.0,-4.21613,618.5306,0.40058294,0.41494882,0.030753495,0.13826135
4000.0,0.6534,3.0,-1.91667,-4.21613,575.102,0.39447176,0.40737027,0.033036947,0.14852726
4000.0,0.6534,3.0,-1.83333,-4.21613,533.8917,0.3876448,0.39915925,0.035545282,0.15980422
4000.0,0.6534,3.0,-1.75,-4.21613,494.85315,0.38002437,0.39023718,0.038304575,0.17220943
4000.0,0.6534,3.0,-1.66667,-4.21613,457.92874,0.37152088,0.3805132,0.04134492,0.18587817
4000.0,0.6534,3.0,-1.58333,-4.21613,423.06598,0.3620342,0.36988634,0.044699848,0.20096125
4000.0,0.6534,3.0,-1.5,-4.21613,390.22855,0.35145763,0.3582496,0.048405018,0.21761893
4000.0,0.6534,3.0,-1.41667,-4.21613,359.37082,0.33967155,0.3454828,0.052500434,0.23603107
4000.0,0.6534,3.0,-1.33333,-4.21613,330.45142,0.32654765,0.3314573,0.057028938,0.25639027
4000.0,0.6534,3.0,-1.25,-4.21613,303.44217,0.3119576,0.31604493,0.062033318,0.27888894
4000.0,0.6534,3.0,-1.16667,-4.21613,278.3074,0.2957691,0.29911327,0.067557745,0.3037256
4000.0,0.6534,3.0,-1.08333,-4.21613,255.0149,0.27785861,0.28053874,0.073643416,0.33108553
4000.0,0.6534,3.0,-1.0,-4.21613,233.54333,0.25813243,0.2602277,0.080321595,0.36110923
4000.0,0.6534,3.0,-0.91667,-4.21613,213.86531,0.23653363,0.23812275,0.08761135,0.39388245
4000.0,0.6534,3.0,-0.83333,-4.21613,195.95665,0.2130751,0.21423583,0.09550853,0.42938656
4000.0,0.6534,3.0,-0.75,-4.21613,179.80168,0.18788528,0.18869375,0.103970565,0.4674301
4000.0,0.6534,3.0,-0.66667,-4.21613,165.38037,0.16123544,0.16176477,0.11290747,0.5076086
4000.0,0.6534,3.0,-0.58333,-4.21613,152.67552,0.13359593,0.1339147,0.12216308,0.5492199
4000.0,0.6534,3.0,-0.5,-4.21613,141.67647,0.105691545,0.10586184,0.1314967,0.59118193
4000.0,0.6534,3.0,-0.41667,-4.21613,132.36977,0.078507245,0.0785824,0.1405812,0.632024
4000.0,0.6534,3.0,-0.33333,-4.21613,124.74468,0.053285472,0.053308036,0.14900392,0.6698907
4000.0,0.6534,3.0,-0.25,-4.21613,118.794975,0.03146181,0.031462096,0.15628797,0.7026383
4000.0,0.6534,3.0,-0.16667,-4.21613,114.51338,0.014502123,0.014497971,0.16194643,0.7280776
4000.0,0.6534,3.0,-0.08333,-4.21613,111.89525,0.0037092553,0.0037075377,0.1655465,0.74426275
4000.0,0.6534,3.0,0.0,-4.21613,110.93852,0.0,0.0,0.16678362,0.7498246
4000.0,0.6534,3.0,0.08333,-4.21613,111.6419,0.0037176688,0.003715954,0.1655437,0.7442502
