M0,g,gv,ch,cl,GammaTot,BRWW,BRhZ,BRll,BRnunu,BRtt,BRjets
2000.0,0.6534,1.0,-7.5,-2.81075,889.41974,0.4006291,0.29282704,0.025438378,0.03869673,0.037468918,0.22968958
2000.0,0.6534,1.0,-7.25,-2.81075,814.64923,0.38000122,0.2881009,0.027554104,0.04187944,0.040574227,0.24868731
2000.0,0.6534,1.0,-7.0,-2.81075,751.6722,0.36094528,0.28226647,0.029631568,0.045003317,0.043622978,0.26733765
2000.0,0.6534,1.0,-6.75,-2.81075,697.28564,0.3429493,0.27549574,0.031699125,0.048111048,0.0466568,0.2858953
2000.0,0.6534,1.0,-6.5,-2.81075,649.5008,0.32569036,0.2678969,0.03377469,0.05122959,0.04970199,0.30452117
2000.0,0.6534,1.0,-6.25,-2.81075,606.98846,0.30895045,0.25954401,0.03587029,0.054376986,0.052776184,0.32332313
2000.0,0.6534,1.0,-6.0,-2.81075,568.81195,0.2925759,0.2504921,0.03799419,0.0575656,0.055891495,0.34237516
2000.0,0.6534,1.0,-5.75,-2.81075,534.28394,0.27645573,0.24078535,0.040151976,0.060803767,0.059056096,0.36172724
2000.0,0.6534,1.0,-5.5,-2.81075,502.88416,0.26050952,0.23046277,0.042347144,0.06409664,0.062275086,0.3814104
2000.0,0.6534,1.0,-5.25,-2.81075,474.20853,0.24468021,0.21956174,0.044581372,0.06744663,0.06555089,0.4014394
2000.0,0.6534,1.0,-5.0,-2.81075,447.93677,0.2289297,0.20812085,0.046854652,0.07085362,0.068883486,0.4218139
2000.0,0.6534,1.0,-4.75,-2.81075,423.81067,0.21323647,0.19618224,0.049165312,0.074314974,0.07227035,0.4425184
2000.0,0.6534,1.0,-4.5,-2.81075,401.61902,0.19759405,0.18379357,0.051509947,0.077825435,0.07570646,0.4635221
2000.0,0.6534,1.0,-4.25,-2.81075,381.18698,0.18201043,0.17100993,0.05388334,0.08137703,0.079184115,0.48477766
2000.0,0.6534,1.0,-4.0,-2.81075,362.36835,0.16650786,0.1578954,0.056278333,0.084958866,0.08269277,0.50622046
2000.0,0.6534,1.0,-3.75,-2.81075,345.03986,0.15112291,0.14452459,0.058685683,0.088556916,0.08621883,0.5277671
2000.0,0.6534,1.0,-3.5,-2.81075,329.09686,0.13590683,0.13098404,0.06109393,0.09215383,0.08974543,0.5493145
2000.0,0.6534,1.0,-3.25,-2.81075,314.45004,0.120925665,0.117373206,0.063489296,0.09572879,0.09325232,0.5707385
2000.0,0.6534,1.0,-3.0,-2.81075,301.0228,0.106260516,0.10380526,0.06585559,0.099257365,0.09671572,0.59189355
2000.0,0.6534,1.0,-2.75,-2.81075,288.7493,0.092007324,0.09040741,0.06817421,0.10271153,0.10010831,0.6126125
2000.0,0.6534,1.0,-2.5,-2.81075,277.57285,0.07827638,0.07732063,0.0704242,0.106059715,0.10339931,0.63270706
2000.0,0.6534,1.0,-2.25,-2.81075,267.4447,0.065191284,0.06469875,0.07258238,0.10926714,0.10655474,0.6519693
2000.0,0.6534,1.0,-2.0,-2.81075,258.32294,0.052887205,0.052706692,0.0746237,0.11229615,0.10953783,0.6701745
2000.0,0.6534,1.0,-1.75,-2.81075,250.17175,0.041508492,0.04151786,0.07652159,0.115106925,0.11230965,0.68708444
2000.0,0.6534,1.0,-1.5,-2.81075,242.96072,0.031205423,0.031310555,0.07824857,0.11765833,0.114829905,0.70245296
2000.0,0.6534,1.0,-1.25,-2.81075,236.66434,0.022130182,0.022263467,0.07977694,0.119908944,0.11705804,0.7160321
2000.0,0.6534,1.0,-1.0,-2.81075,231.26157,0.014432148,0.01455037,0.08107965,0.12181836,0.118954405,0.7275798
2000.0,0.6534,1.0,-0.75,-2.81075,226.7355,0.0082526095,0.008334132,0.08213116,0.1233486,0.12048169,0.736868
2000.0,0.6534,1.0,-0.5,-2.81075,223.07317,0.0037191922,0.003760418,0.08290854,0.12446556,0.12160635,0.7436921
2000.0,0.6534,1.0,-0.25,-2.81075,220.2653,0.0009403071,0.0009514126,0.08339238,0.12514055,0.12230005,0.74787927
2000.0,0.6534,1.0,0.0,-2.81075,218.30626,0.0,0.0,0.083567746,0.12535162,0.122541025,0.74929684
2000.0,0.6534,1.0,0.25,-2.81075,217.19397,0.0009536001,0.0009648675,0.08342494,0.12508471,0.12231523,0.7478595
2000.0,0.6534,1.0,0.5,-2.81075,216.92993,0.003824534,0.0038669417,0.082960084,0.12433456,0.121617116,0.7435339
2000.0,0.6534,1.0,0.75,-2.81075,217.51927,0.008602603,0.008687493,0.08217541,0.12310504,0.12045015,0.73634183
2000.0,0.6534,1.0,1.0,-2.81075,218.9709,0.015243909,0.0153681105,0.08107929,0.12140925,0.118826754,0.7263599
2000.0,0.6534,1.0,1.25,-2.81075,221.29771,0.023672467,0.02381258,0.07968594,0.11926906,0.11676796,0.7137171
2000.0,0.6534,1.0,1.5,-2.81075,224.51682,0.033783387,0.03389054,0.07801486,0.116714165,0.11430249,0.6985897
2000.0,0.6534,1.0,1.75,-2.81075,228.64995,0.045447413,0.045442626,0.07609002,0.11378099,0.111465655,0.681194
2000.0,0.6534,1.0,2.0,-2.81075,233.72389,0.058516413,0.058286645,0.07393891,0.11051111,0.108297855,0.66177756
2000.0,0.6534,1.0,2.25,-2.81075,239.77112,0.07282948,0.07222442,0.07159144,0.106949694,0.10484305,0.6406093
2000.0,0.6534,1.0,2.5,-2.81075,246.83049,0.08821916,0.08704869,0.06907883,0.10314383,0.1011471,0.61797017
2000.0,0.6534,1.0,2.75,-2.81075,254.94818,0.104517475,0.10254965,0.06643261,0.09914096,0.09725629,0.5941431
2000.0,0.6534,1.0,3.0,-2.81075,264.1789,0.12156142,0.1185209,0.06368362,0.094987415,0.09321586,0.5694049
2000.0,0.6534,1.0,3.25,-2.81075,274.5873,0.1391977,0.13476428,0.060861226,0.09072727,0.089068875,0.544019
2000.0,0.6534,1.0,3.5,-2.81075,286.25,0.1572866,0.15109374,0.057992652,0.08640136,0.084855266,0.5182294
2000.0,0.6534,1.0,3.75,-2.81075,299.25778,0.175705,0.16733791,0.055102535,0.08204654,0.08061113,0.49225682
2000.0,0.6534,1.0,4.0,-2.81075,313.71896,0.19434866,0.18334164,0.05221259,0.07769528,0.076368265,0.4662956
2000.0,0.6534,1.0,4.25,-2.81075,329.76343,0.21313368,0.19896647,0.049341444,0.07337539,0.072153956,0.44051236
2000.0,0.6534,1.0,4.5,-2.81075,347.54828,0.23199765,0.21409014,0.046504583,0.06910993,0.067990854,0.41504547
2000.0,0.6534,1.0,4.75,-2.81075,367.2652,0.25090057,0.22860527,0.043714378,0.06491729,0.06389705,0.39000535
2000.0,0.6534,1.0,5.0,-2.81075,389.15125,0.26982585,0.2424174,0.040980168,0.06081131,0.05988618,0.36547524
2000.0,0.6534,1.0,5.25,-2.81075,413.50354,0.28878176,0.25544223,0.038308352,0.05680144,0.055967588,0.34151208
2000.0,0.6534,1.0,5.5,-2.81075,440.70145,0.30780414,0.26760218,0.035702482,0.052892834,0.052146427,0.31814718
2000.0,0.6534,1.0,5.75,-2.81075,471.23984,0.3269607,0.27882183,0.03316323,0.049086392,0.048423648,0.29538625
2000.0,0.6534,1.0,6.0,-2.81075,505.78186,0.34635922,0.2890219,0.03068826,0.045378495,0.044795785,0.27320802
2000.0,0.6534,1.0,6.25,-2.81075,545.24664,0.3661612,0.2981106,0.028271757,0.041760378,0.041254304,0.2515602
2000.0,0.6534,1.0,6.5,-2.81075,590.96515,0.38660786,0.30596957,0.025903456,0.038216647,0.037784148,0.23035079
2000.0,0.6534,1.0,6.75,-2.81075,644.98096,0.40807074,0.31242895,0.02356646,0.03472207,0.034360576,0.20942856
2000.0,0.6534,1.0,7.0,-2.81075,710.70294,0.43116176,0.31721652,0.02123229,0.031234233,0.030941922,0.18853907
2000.0,0.6534,1.0,7.25,-2.81075,794.58594,0.45701525,0.3198309,0.01884782,0.02767413,0.02745049,0.16720802
2000.0,0.6534,1.0,7.5,-2.81075,911.92426,0.48824984,0.31911975,0.016289925,0.023858866,0.023706287,0.14433669
