M0,g,gv,ch,cl,GammaTot,BRWW,BRhZ,BRll,BRnunu,BRtt,BRjets
4000.0,0.6534,1.0,-7.5,3.74767,1550.4977,0.27102408,0.25607425,0.039488196,0.059076045,0.05884903,0.35459334
4000.0,0.6534,1.0,-7.25,3.74767,1493.5991,0.26064733,0.24733487,0.041082285,0.0614673,0.0612268,0.3689271
4000.0,0.6534,1.0,-7.0,3.74767,1439.4445,0.2500606,0.23826616,0.04272127,0.06392612,0.06367162,0.38366523
4000.0,0.6534,1.0,-6.75,3.74767,1387.9336,0.23926936,0.2288777,0.044403896,0.06645065,0.0661816,0.39879647
4000.0,0.6534,1.0,-6.5,3.74767,1338.9749,0.22828223,0.21918203,0.04612839,0.06903824,0.06875412,0.41430494
4000.0,0.6534,1.0,-6.25,3.74767,1292.4839,0.21711113,0.20919506,0.047892418,0.07168542,0.071385704,0.4301698
4000.0,0.6534,1.0,-6.0,3.74767,1248.3833,0.2057718,0.1989364,0.049693033,0.07438778,0.074071966,0.4463645
4000.0,0.6534,1.0,-5.75,3.74767,1206.6017,0.19428405,0.1884298,0.051526595,0.07713988,0.07680747,0.46285638
4000.0,0.6534,1.0,-5.5,3.74767,1167.0732,0.18267213,0.17770347,0.053388722,0.07993517,0.079585694,0.47960615
4000.0,0.6534,1.0,-5.25,3.74767,1129.7377,0.17096502,0.16679044,0.055274233,0.08276591,0.08239892,0.4965673
4000.0,0.6534,1.0,-5.0,3.74767,1094.5391,0.15919666,0.15572892,0.057177108,0.08562306,0.085238166,0.5136857
4000.0,0.6534,1.0,-4.75,3.74767,1061.4261,0.14740625,0.14456242,0.059090443,0.08849632,0.08809315,0.53089935
4000.0,0.6534,1.0,-4.5,3.74767,1030.3517,0.1356383,0.13334002,0.061006427,0.091373965,0.09095222,0.5481381
4000.0,0.6534,1.0,-4.25,3.74767,1001.27203,0.123942696,0.12211629,0.062916346,0.094242945,0.093802385,0.5653236
4000.0,0.6534,1.0,-4.0,3.74767,974.1475,0.1123746,0.11095136,0.064810574,0.09708884,0.0966293,0.5823694
4000.0,0.6534,1.0,-3.75,3.74767,948.9413,0.10099423,0.09991056,0.06667864,0.09989596,0.099417344,0.5991813
4000.0,0.6534,1.0,-3.5,3.74767,925.61993,0.08986647,0.089064084,0.068509296,0.1026474,0.10214972,0.6156581
4000.0,0.6534,1.0,-3.25,3.74767,904.1528,0.07906028,0.07848637,0.07029056,0.10532524,0.104808584,0.6316923
4000.0,0.6534,1.0,-3.0,3.74767,884.5119,0.068647966,0.06825529,0.07200991,0.10791067,0.107375264,0.6471712
4000.0,0.6534,1.0,-2.75,3.74767,866.6721,0.058704212,0.058451198,0.07365444,0.11038431,0.10983048,0.66197866
4000.0,0.6534,1.0,-2.5,3.74767,850.6105,0.04930496,0.049155694,0.075211,0.11272644,0.11215462,0.6759964
4000.0,0.6534,1.0,-2.25,3.74767,836.30664,0.040526085,0.04045026,0.07666648,0.114917375,0.11432813,0.6891066
4000.0,0.6534,1.0,-2.0,3.74767,823.7423,0.032441992,0.03241474,0.078008026,0.116937794,0.11633182,0.70119345
4000.0,0.6534,1.0,-1.75,3.74767,812.9015,0.025124036,0.025125723,0.079223305,0.118769184,0.1181473,0.7121461
4000.0,0.6534,1.0,-1.5,3.74767,803.77014,0.018638963,0.018654825,0.08030079,0.120394215,0.11975736,0.7218608
4000.0,0.6534,1.0,-1.25,3.74767,796.3363,0.01304731,0.013067044,0.081230044,0.121797174,0.121146396,0.73024344
4000.0,0.6534,1.0,-1.0,3.74767,790.59,0.008401913,0.008419159,0.082001925,0.12296431,0.12230078,0.73721176
4000.0,0.6534,1.0,-0.75,3.74767,786.5232,0.004746544,0.004758276,0.08260887,0.12388424,0.123209216,0.74269766
4000.0,0.6534,1.0,-0.5,3.74767,784.12946,0.0021147549,0.0021206136,0.08304509,0.124548204,0.123863034,0.74664885
4000.0,0.6534,1.0,-0.25,3.74767,783.4045,0.0005289893,0.00053054944,0.08330669,0.12495032,0.124256425,0.7490301
4000.0,0.6534,1.0,0.0,3.74767,784.3456,0.0,0.0,0.08339181,0.12508772,0.12438657,0.7498246
4000.0,0.6534,1.0,0.25,3.74767,786.95197,0.0005266049,0.0005281577,0.08330063,0.12496062,0.124253735,0.7490337
4000.0,0.6534,1.0,0.5,3.74767,791.2245,0.0020957908,0.0021015962,0.083035365,0.124572314,0.123861216,0.7466773
4000.0,0.6534,1.0,0.75,3.74767,797.16595,0.004683159,0.004694738,0.08260021,0.12392901,0.123215236,0.7427928
4000.0,0.6534,1.0,1.0,3.74767,804.7808,0.008253685,0.008270657,0.08200119,0.12303969,0.12232476,0.7374342
4000.0,0.6534,1.0,1.25,3.74767,814.0753,0.012762755,0.012782169,0.081245966,0.12191581,0.1212012,0.73067033
4000.0,0.6534,1.0,1.5,3.74767,825.0575,0.01815742,0.018173164,0.08034364,0.120570995,0.119858146,0.722583
4000.0,0.6534,1.0,1.75,3.74767,837.73724,0.024377808,0.024380097,0.07930453,0.119020656,0.11831094,0.71326464
4000.0,0.6534,1.0,2.0,3.74767,852.12646,0.03135863,0.03133359,0.07813987,0.11728163,0.11657636,0.70281637
4000.0,0.6534,1.0,2.25,3.74767,868.2387,0.039030723,0.03896005,0.07686158,0.11537175,0.11467214,0.69134516
4000.0,0.6534,1.0,2.5,3.74767,886.08966,0.047322556,0.04718327,0.07548198,0.113309495,0.11261668,0.67896175
4000.0,0.6534,1.0,2.75,3.74767,905.697,0.05616164,0.055925958,0.07401357,0.11111359,0.11042861,0.66577846
4000.0,0.6534,1.0,3.0,3.74767,927.0805,0.06547586,0.065111086,0.07246879,0.10880269,0.10812648,0.6519072
4000.0,0.6534,1.0,3.25,3.74767,950.262,0.07519462,0.07466314,0.07085982,0.106395066,0.10572846,0.6374575
4000.0,0.6534,1.0,3.5,3.74767,975.26587,0.08524981,0.08450917,0.06919843,0.10390836,0.103252105,0.62253505
4000.0,0.6534,1.0,3.75,3.74767,1002.1185,0.095576644,0.094579615,0.06749582,0.10135938,0.100714125,0.6072407
4000.0,0.6534,1.0,4.0,3.74767,1030.849,0.10611426,0.104809,0.06576252,0.09876394,0.098130226,0.591669
4000.0,0.6534,1.0,4.25,3.74767,1061.489,0.116806194,0.115136385,0.064008325,0.09613673,0.09551502,0.57590824
4000.0,0.6534,1.0,4.5,3.74767,1094.073,0.12760067,0.12550573,0.062242214,0.09349123,0.0928819,0.56003904
4000.0,0.6534,1.0,4.75,3.74767,1128.6383,0.13845079,0.135866,0.06047235,0.090839714,0.09024306,0.544135
4000.0,0.6534,1.0,5.0,3.74767,1165.2252,0.14931452,0.14617129,0.05870606,0.08819318,0.087609425,0.52826196
4000.0,0.6534,1.0,5.25,3.74767,1203.8776,0.16015469,0.15638064,0.056949858,0.08556142,0.08499072,0.5124785
4000.0,0.6534,1.0,5.5,3.74767,1244.6426,0.1709388,0.16645801,0.05520945,0.082953,0.08239546,0.49683604
4000.0,0.6534,1.0,5.75,3.74767,1287.5713,0.18163885,0.17637196,0.053489786,0.08037539,0.079831034,0.48137915
4000.0,0.6534,1.0,6.0,3.74767,1332.7188,0.19223107,0.18609539,0.0517951,0.07783494,0.077303775,0.46614596
4000.0,0.6534,1.0,6.25,3.74767,1380.1445,0.20269565,0.1956053,0.05012896,0.07533702,0.07481899,0.4511686
4000.0,0.6534,1.0,6.5,3.74767,1429.9128,0.21301645,0.20488237,0.048494317,0.07288609,0.07238111,0.43647364
4000.0,0.6534,1.0,6.75,3.74767,1482.0929,0.22318065,0.2139107,0.046893556,0.07048573,0.06999368,0.4220826
4000.0,0.6534,1.0,7.0,3.74767,1536.7596,0.23317851,0.2226774,0.045328557,0.0681388,0.06765953,0.40801245
4000.0,0.6534,1.0,7.25,3.74767,1593.9939,0.24300301,0.23117235,0.04380075,0.06584744,0.06538077,0.39427608
4000.0,0.6534,1.0,7.5,3.74767,1653.8833,0.25264964,0.23938783,0.042311143,0.06361319,0.063158944,0.38088265
