M0,g,gv,ch,cl,total_widthV0,BRWW,BRhZ,BRuu,BRdd,BRnunu,BRbb,BRtt,BRjets,BRll
4000.0,0.6534,3.0,-2.5,-11.24302,1653.8849,0.2526494,0.2393876,0.06351556,0.06356438,0.06361325,0.06356412,0.063159,0.38088298,0.042311184
4000.0,0.6534,3.0,-2.41667,-11.24302,1593.9978,0.24300317,0.23117247,0.065749824,0.065798596,0.065847404,0.06579832,0.06538074,0.39427587,0.043800727
4000.0,0.6534,3.0,-2.33333,-11.24302,1536.7589,0.23317789,0.22267684,0.06804161,0.06809026,0.06813895,0.06808998,0.067659676,0.40801334,0.045328658
4000.0,0.6534,3.0,-2.25,-11.24302,1482.0944,0.22318043,0.21391048,0.070388824,0.07043729,0.07048579,0.070437,0.069993734,0.42208293,0.046893593
4000.0,0.6534,3.0,-2.16667,-11.24302,1429.9164,0.21301663,0.20488252,0.0727896,0.07283781,0.07288605,0.07283751,0.072381064,0.43647337,0.048494287
4000.0,0.6534,3.0,-2.08333,-11.24302,1380.1442,0.20269501,0.19560471,0.075241424,0.07528929,0.07533718,0.075288974,0.07481915,0.45116952,0.050129063
4000.0,0.6534,3.0,-2.0,-11.24302,1332.7203,0.19223085,0.18609518,0.0777401,0.07778753,0.07783499,0.07778721,0.07730383,0.4661463,0.051795136
4000.0,0.6534,3.0,-1.91667,-11.24302,1287.5745,0.18163906,0.17637214,0.0802815,0.080328405,0.080375336,0.08032807,0.07983098,0.48137885,0.053489752
4000.0,0.6534,3.0,-1.83333,-11.24302,1244.6423,0.17093816,0.16645741,0.08286058,0.08290686,0.082953155,0.08290651,0.08239561,0.49683696,0.05520955
4000.0,0.6534,3.0,-1.75,-11.24302,1203.879,0.16015449,0.15638044,0.085470356,0.085515894,0.08556146,0.085515544,0.08499076,0.51247877,0.05694989
4000.0,0.6534,3.0,-1.66667,-11.24302,1165.2281,0.14931478,0.14617151,0.088103704,0.0881484,0.08819312,0.088148035,0.087609366,0.5282616,0.058706023
4000.0,0.6534,3.0,-1.58333,-11.24302,1128.6383,0.13845018,0.1358654,0.090752386,0.09079611,0.09083986,0.09079573,0.090243205,0.54413587,0.06047245
4000.0,0.6534,3.0,-1.5,-11.24302,1094.0745,0.1276005,0.12550555,0.09340598,0.09344862,0.09349127,0.09344823,0.09288194,0.56003934,0.062242243
